Standard Entries and Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
Subject,Level,Ethnicity,Assessment Type,Academic Year,Total Entries,No Result Entries,Absent Entries,Void Entries,"Assessed
 Entries",Qty. Not Achieved,Rate Not Achieved,Qty. Achieved,Rate Achieved,Qty. Merit,Rate Merit,Qty. Excellence,Rate Excellence,Comp. Total Entries,Comp. No Result Entries,Comp. Absent Entries,Comp. Void Entries,"Comp. Assessed
 Entries",Comp. Qty. Not Achieved,Comp. Rate Not Achieved,Comp. Qty. Achieved,Comp. Rate Achieved,Comp. Qty. Merit,Comp. Rate Merit,FALSE,Comp. Qty. Excellence,Comp. Rate Excellence
Subject 1,Level 1,A,Externally Assessed,2018,18,0,0,5,13,2,15.4,4,30.8,5,38.5,2,15.4,441,0,30,73,338,88,26,110,32.5,98,29,FALSE,42,12.4
Subject 1,Level 1,B,Externally Assessed,2019,27,0,0,5,22,2,9.1,5,22.7,11,50,4,18.2,351,0,24,54,273,46,16.8,77,28.2,91,33.3,FALSE,59,21.6
Subject 1,Level 2,A,Externally Assessed,2020,18,0,0,1,17,1,5.9,2,11.8,8,47.1,6,35.3,313,0,30,52,231,56,24.2,61,26.4,74,32,FALSE,40,17.3
Subject 1,Level 2,B,Externally Assessed,2021,21,0,0,6,15,3,20,5,33.3,6,40,1,6.7,360,0,45,68,247,45,18.2,75,30.4,59,23.9,FALSE,68,27.5
Subject 1,Level 2,C,Externally Assessed,2022,18,0,3,4,11,4,36.4,3,27.3,4,36.4,0,0,311,0,50,54,207,63,30.4,49,23.7,67,32.4,FALSE,28,13.5
Subject 1,Level 3,A,Internally Assessed,2018,12,0,0,0,12,2,16.7,2,16.7,5,41.7,3,25,539,1,0,0,538,87,16.2,134,24.9,132,24.5,FALSE,185,34.4
Subject 1,Level 3,A,Internally Assessed,2019,18,0,0,0,18,3,16.7,0,0,8,44.4,7,38.9,508,17,0,0,491,103,21,111,22.6,118,24,FALSE,159,32.4
Subject 2,Level 1,C,Internally Assessed,2020,12,0,0,0,12,0,0,1,8.3,2,16.7,9,75,435,1,0,0,434,54,12.4,108,24.9,129,29.7,FALSE,143,32.9
Subject 2,Level 1,B,Internally Assessed,2021,15,0,0,0,15,2,13.3,5,33.3,7,46.7,1,6.7,506,2,0,0,504,54,10.7,151,30,147,29.2,FALSE,152,30.2
Subject 2,Level 2,B,Internally Assessed,2022,10,0,0,0,10,6,60,2,20,1,10,1,10,481,9,0,0,472,70,14.8,141,29.9,122,25.8,FALSE,139,29.4
Subject 2,Level 2,C,Externally Assessed,2018,213,0,12,26,175,6,3.4,43,24.6,87,49.7,39,22.3,4252,0,164,516,3572,513,14.4,1004,28.1,1351,37.8,FALSE,704,19.7
Subject 2,Level 3,A,Externally Assessed,2019,114,0,3,25,86,8,9.3,24,27.9,37,43,17,19.8,3811,0,179,516,3116,462,14.8,782,25.1,1106,35.5,FALSE,766,24.6
